pop_id	time	map_number
0	-1	1
1	1700	2
1	1666.66666666667	3
1	1656.56666666667	4
1	1646.46666666667	5
1	1636.36666666667	6
1	1626.26666666667	7
1	1616.16666666667	8
1	1606.06666666667	9
1	1595.96666666667	10
1	1585.86666666667	11
1	1575.76666666667	12
1	1565.66666666667	13
1	1555.56666666667	14
1	1545.46666666667	15
1	1535.36666666667	16
1	1525.26666666667	17
1	1515.16666666667	18
1	1505.06666666667	19
1	1494.93333333333	20
1	1484.83333333333	21
1	1474.73333333333	22
1	1464.63333333333	23
1	1454.53333333333	24
1	1444.43333333333	25
1	1434.33333333333	26
1	1424.23333333333	27
1	1414.13333333333	28
1	1404.03333333333	29
1	1393.93333333333	30
1	1383.83333333333	31
1	1373.73333333333	32
1	1363.63333333333	33
1	1353.53333333333	34
1	1343.43333333333	35
1	1333.33333333333	36
2	933.333333333333	37
3	933.333333333333	38
4	833.333333333333	39
3	333.333333333333	40
3	323.333333333333	41
3	313.333333333333	42
3	303.333333333333	43
3	293.333333333333	44
3	283.333333333333	45
3	273.333333333333	46
3	263.333333333333	47
3	253.333333333333	48
3	243.333333333333	49
3	233.333333333333	50
5	233.333333333333	51
6	200	52
6	166.666666666667	53
6	158.333333333333	54
6	150	55
6	141.666666666667	56
6	133.333333333333	57
6	125	58
6	116.666666666667	59
6	108.333333333333	60
6	100	61
